Date,Open,High,Low,Close,Adj Close,Volume
2017-06-29,0.85,0.9845,0.6,0.85,0.85,13984
2017-06-30,1.0313,1.0718,0.9896,1.0067,1.0067,13613000
2017-07-01,1.0313,1.0718,0.9896,1.0067,1.0067,13613000
2017-07-02,0.9965,2.8775,0.8226,2.7101,2.7101,320452000
2017-07-03,2.7174,5.396,2.6323,4.0866,4.0866,414950000
2017-07-04,4.098,4.1912,2.9335,3.372,3.372,218559000
2017-07-05,3.356,3.5235,2.7301,3.0032,3.0032,124339000
2017-07-06,3.0143,3.8675,3.0078,3.3613,3.3613,177463000
2017-07-07,3.3512,3.3512,2.7132,2.8011,2.8011,96596500
2017-07-08,2.8247,2.897,2.0851,2.5869,2.5869,151162000
2017-07-09,2.6004,2.6905,2.1938,2.2922,2.2922,87525100
2017-07-10,2.2531,2.3884,1.7227,1.8326,1.8326,79608800
2017-07-11,1.7854,1.8233,1.419,1.6558,1.6558,111023000
2017-07-12,1.6446,2.0914,1.538,2.0733,2.0733,104621000
2017-07-13,2.085,2.1318,1.7106,1.7408,1.7408,51203900
2017-07-14,1.7339,1.7688,1.5415,1.5455,1.5455,41025200
2017-07-15,1.5535,1.5535,1.3028,1.3028,1.3028,34208800
2017-07-16,1.2906,1.3472,1.1858,1.2541,1.2541,30802800
2017-07-17,1.2542,1.5736,1.2542,1.5401,1.5401,62295100
2017-07-18,1.5435,1.7545,1.4761,1.6969,1.6969,58108000
2017-07-19,1.6997,1.7877,1.538,1.5588,1.5588,55057600
2017-07-20,1.5665,1.7642,1.5665,1.7449,1.7449,45949800
2017-07-21,1.7552,2.0161,1.7272,1.8199,1.8199,58164900
2017-07-22,1.8153,1.9975,1.8149,1.9584,1.9584,41809000
2017-07-23,1.9595,2.1364,1.7411,1.8651,1.8651,60205000
2017-07-24,1.8787,1.9458,1.818,1.8743,1.8743,36585400
2017-07-25,1.8776,1.8933,1.5522,1.6481,1.6481,42547000
2017-07-26,1.6436,1.7358,1.473,1.7358,1.7358,48693200
2017-07-27,1.7488,1.9826,1.7298,1.9526,1.9526,69371700
2017-07-28,1.963,2.0097,1.8459,1.8459,1.8459,64730400
2017-07-29,1.8313,1.8378,1.6616,1.8331,1.8331,44021100
2017-07-30,1.8303,1.843,1.7134,1.7822,1.7822,27580200
2017-07-31,1.7745,1.7861,1.7074,1.7396,1.7396,29657700
2017-08-01,1.7465,1.8056,1.6771,1.7812,1.7812,39175500
2017-08-02,1.7815,1.8186,1.759,1.7784,1.7784,28880800
2017-08-03,1.7765,1.8118,1.7465,1.804,1.804,25878000
2017-08-04,1.8024,1.8496,1.7988,1.8054,1.8054,34183300
2017-08-05,1.8016,1.977,1.7636,1.9093,1.9093,52324800
2017-08-06,1.9037,1.9037,1.7245,1.7353,1.7353,38436700
2017-08-07,1.7326,1.8297,1.7064,1.8085,1.8085,46022400
2017-08-08,1.811,2.0444,1.7894,1.8811,1.8811,76270800
2017-08-09,1.8826,1.9482,1.8099,1.8286,1.8286,36813700
