,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,600918.SH,20200630,12.57,13.14,12.45,12.84,12.49,0.35,2.8022,1576162.55,2009682.069
1,600918.SH,20200629,13.29,13.37,12.43,12.49,13.81,-1.32,-9.5583,2168843.18,2777317.604
2,600918.SH,20200624,14.33,14.55,13.81,13.81,14.35,-0.54,-3.7631,1791672.22,2521211.613
3,600918.SH,20200623,14.17,14.52,13.91,14.35,14.35,0.0,0.0,2099378.73,2990492.267
4,600918.SH,20200622,13.82,15.51,13.63,14.35,14.1,0.25,1.773,3693361.9,5403005.563
5,600918.SH,20200619,13.74,14.63,13.22,14.1,13.98,0.12,0.8584,3220001.79,4458483.152
6,600918.SH,20200618,13.84,14.33,13.7,13.98,14.08,-0.1,-0.7102,2777410.14,3888324.992
7,600918.SH,20200617,13.99,14.22,13.71,14.08,14.25,-0.17,-1.193,2989721.73,4161052.312
8,600918.SH,20200616,14.12,14.5,13.62,14.25,13.52,0.73,5.3994,5128778.77,7215577.122
9,600918.SH,20200615,13.52,13.52,13.52,13.52,12.29,1.23,10.0081,89312.06,120749.905
10,600918.SH,20200612,12.29,12.29,12.29,12.29,11.17,1.12,10.0269,104939.77,128970.977
11,600918.SH,20200611,11.17,11.17,11.17,11.17,10.15,1.02,10.0493,38804.93,43345.107
12,600918.SH,20200610,10.15,10.15,10.15,10.15,9.23,0.92,9.9675,65656.65,66641.5
13,600918.SH,20200609,9.23,9.23,9.23,9.23,8.39,0.84,10.0119,75597.53,69776.52
14,600918.SH,20200608,8.39,8.39,8.39,8.39,7.63,0.76,9.9607,14644.02,12286.333
15,600918.SH,20200605,7.63,7.63,7.63,7.63,6.94,0.69,9.9424,14136.85,10786.417
16,600918.SH,20200604,6.94,6.94,6.94,6.94,6.31,0.63,9.9842,9032.54,6268.583
17,600918.SH,20200603,5.26,6.31,5.26,6.31,4.38,1.93,44.0639,28665.74,18020.252
