,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
85,688300.SH,20200224,65.07,70.89,62.88,69.5,63.05,6.45,10.23,28017.79,187782.503
86,688300.SH,20200221,62.7,64.88,62.01,63.05,61.86,1.19,1.9237,20604.64,130783.784
87,688300.SH,20200220,64.75,66.38,60.2,61.86,64.45,-2.59,-4.0186,23406.4,146633.395
88,688300.SH,20200219,66.55,67.8,62.8,64.45,70.39,-5.94,-8.4387,33841.6,222373.851
89,688300.SH,20200218,60.65,72.0,57.6,70.39,60.0,10.39,17.3167,47540.91,300438.05
90,688300.SH,20200217,59.09,60.58,57.29,60.0,58.48,1.52,2.5992,21182.3,125660.186
91,688300.SH,20200214,56.06,61.61,55.05,58.48,56.99,1.49,2.6145,28836.17,168397.633
92,688300.SH,20200213,52.57,58.88,51.3,56.99,52.3,4.69,8.9675,29753.46,164642.097
93,688300.SH,20200212,50.41,52.99,49.8,52.3,50.6,1.7,3.3597,14099.84,72548.322
94,688300.SH,20200211,53.1,53.4,50.06,50.6,53.34,-2.74,-5.1369,13933.77,71406.635
95,688300.SH,20200210,54.73,55.95,52.51,53.34,54.5,-1.16,-2.1284,14001.51,75201.517
96,688300.SH,20200207,50.3,55.2,49.84,54.5,50.68,3.82,7.5375,16288.54,84615.75
97,688300.SH,20200206,48.2,50.85,48.2,50.68,49.17,1.51,3.071,10347.79,51742.645
98,688300.SH,20200205,48.46,51.8,47.52,49.17,48.46,0.71,1.4651,16476.78,82800.881
99,688300.SH,20200204,44.01,48.66,44.01,48.46,44.0,4.46,10.1364,11688.06,55672.389
100,688300.SH,20200203,40.75,46.8,40.75,44.0,50.21,-6.21,-12.3681,22269.06,98609.109
101,688300.SH,20200123,55.42,55.85,49.95,50.21,55.32,-5.11,-9.2372,16813.44,88028.065
102,688300.SH,20200122,53.33,55.87,51.32,55.32,53.33,1.99,3.7315,13294.39,71951.569
103,688300.SH,20200121,56.55,56.99,53.03,53.33,57.27,-3.94,-6.8797,17136.99,93837.701
104,688300.SH,20200120,55.99,59.87,53.51,57.27,56.05,1.22,2.1766,22250.99,125130.61
105,688300.SH,20200117,52.31,56.37,52.22,56.05,53.26,2.79,5.2385,26475.85,144680.518
106,688300.SH,20200116,50.0,54.26,49.65,53.26,51.1,2.16,4.227,28504.37,148930.4
107,688300.SH,20200115,53.71,55.3,50.57,51.1,53.44,-2.34,-4.3787,23213.36,122784.705
108,688300.SH,20200114,53.88,54.5,52.13,53.44,53.78,-0.34,-0.6322,17890.43,95450.084
109,688300.SH,20200113,51.63,54.28,50.5,53.78,52.13,1.65,3.1652,18682.14,98273.049
110,688300.SH,20200110,53.3,53.76,50.88,52.13,53.3,-1.17,-2.1951,16828.76,87165.467
111,688300.SH,20200109,52.56,55.44,52.55,53.3,52.62,0.68,1.2923,23796.02,128613.155
112,688300.SH,20200108,53.52,53.64,50.86,52.62,54.28,-1.66,-3.0582,24424.18,126789.432
113,688300.SH,20200107,53.29,57.25,53.29,54.28,53.89,0.39,0.7237,23670.78,130449.281
114,688300.SH,20200106,55.0,56.88,52.0,53.89,56.89,-3.0,-5.2733,24889.62,135019.211
115,688300.SH,20200103,49.0,58.31,49.0,56.89,50.18,6.71,13.3719,35362.48,192706.142
116,688300.SH,20200102,46.0,53.5,44.69,50.18,45.45,4.73,10.407,29025.19,137772.881
117,688300.SH,20191231,42.39,45.86,42.23,45.45,42.36,3.09,7.2946,23876.84,106070.593
118,688300.SH,20191230,43.3,43.3,40.01,42.36,42.77,-0.41,-0.9586,22369.99,93846.38
119,688300.SH,20191227,44.71,45.31,42.03,42.77,44.65,-1.88,-4.2105,25366.73,109796.535
120,688300.SH,20191226,45.6,46.68,43.9,44.65,46.03,-1.38,-2.998,28044.23,126705.584
121,688300.SH,20191225,42.5,46.98,41.6,46.03,43.85,2.18,4.9715,43203.5,190082.653
122,688300.SH,20191224,39.05,44.3,38.6,43.85,38.92,4.93,12.667,40855.17,168842.256
123,688300.SH,20191223,39.8,42.38,38.18,38.92,38.75,0.17,0.4387,49216.1,198868.291
124,688300.SH,20191220,35.89,39.3,35.68,38.75,35.87,2.88,8.029,45058.46,169248.388
125,688300.SH,20191219,35.6,36.33,34.92,35.87,35.19,0.68,1.9324,26663.09,95204.077
126,688300.SH,20191218,34.74,36.0,34.74,35.19,34.69,0.5,1.4413,27738.61,98281.293
127,688300.SH,20191217,33.84,34.86,33.69,34.69,34.07,0.62,1.8198,29687.03,102196.763
128,688300.SH,20191216,33.0,34.46,32.96,34.07,32.25,1.82,5.6434,38373.03,130142.213
129,688300.SH,20191213,32.57,32.95,31.92,32.25,32.52,-0.27,-0.8303,16737.54,53947.314
130,688300.SH,20191212,32.5,33.25,32.4,32.52,32.3,0.22,0.6811,18561.36,60988.646
131,688300.SH,20191211,32.4,33.3,32.29,32.3,32.83,-0.53,-1.6144,21024.4,68648.757
132,688300.SH,20191210,31.65,33.9,31.5,32.83,31.8,1.03,3.239,49473.91,163422.579
133,688300.SH,20191209,31.38,31.98,30.91,31.8,31.3,0.5,1.5974,22262.39,69989.155
134,688300.SH,20191206,31.03,31.55,30.95,31.3,31.08,0.22,0.7079,16447.57,51389.345
135,688300.SH,20191205,30.98,31.24,30.65,31.08,30.9,0.18,0.5825,15749.83,48764.198
136,688300.SH,20191204,31.0,31.47,30.56,30.9,31.5,-0.6,-1.9048,13249.66,41107.809
137,688300.SH,20191203,32.0,32.0,29.99,31.5,32.01,-0.51,-1.5933,33277.82,102995.133
138,688300.SH,20191202,31.88,33.4,31.78,32.01,31.44,0.57,1.813,43417.06,141235.148
139,688300.SH,20191129,31.2,31.71,30.87,31.44,31.08,0.36,1.1583,20114.0,62867.092
140,688300.SH,20191128,30.95,32.0,30.83,31.08,31.07,0.01,0.0322,24553.06,76985.028
141,688300.SH,20191127,30.82,31.33,30.4,31.07,30.83,0.24,0.7785,23203.06,71767.835
142,688300.SH,20191126,31.03,31.31,30.55,30.83,31.02,-0.19,-0.6125,20573.3,63393.795
143,688300.SH,20191125,32.2,32.45,30.55,31.02,32.1,-1.08,-3.3645,36222.82,112939.525
144,688300.SH,20191122,33.88,34.35,32.05,32.1,34.0,-1.9,-5.5882,43583.06,144449.742
145,688300.SH,20191121,34.16,35.48,33.33,34.0,34.55,-0.55,-1.5919,44495.05,151690.327
146,688300.SH,20191120,36.47,36.47,34.0,34.55,36.99,-2.44,-6.5964,60374.9,213297.854
147,688300.SH,20191119,37.0,38.01,35.99,36.99,37.46,-0.47,-1.2547,60304.72,222403.174
148,688300.SH,20191118,40.8,41.0,36.76,37.46,44.0,-6.54,-14.8636,81792.04,315057.999
149,688300.SH,20191115,43.0,45.0,40.01,44.0,27.28,16.72,61.2903,142449.48,599049.511
