ESS,19.625,19.125,19.5,19.375,1595400,1994-06-07
ESS,19.375,19.125,19.25,19.25,162400,1994-06-08
ESS,19.25,19.125,19.25,19.25,76200,1994-06-09
ESS,19.25,19,19.125,19.125,110500,1994-06-10
ESS,19.125,19,19,19.125,51200,1994-06-13
ESS,19.25,19.125,19.125,19.25,28100,1994-06-14
ESS,19.5,19.125,19.25,19.25,96700,1994-06-15
ESS,19.25,19.125,19.25,19.125,19800,1994-06-16
ESS,19.25,19,19.25,19,56000,1994-06-17
ESS,19.125,19,19.125,19.125,43500,1994-06-20
ESS,19.125,19,19.125,19,34700,1994-06-21
ESS,19.125,19,19,19,29500,1994-06-22
ESS,19.125,18.75,19,18.75,67900,1994-06-23
ESS,18.625,18.125,18.625,18.375,72500,1994-06-24
ESS,18.375,17.25,18.375,17.875,70100,1994-06-27
ESS,18.125,17.5,18,17.625,64700,1994-06-28
ESS,18.125,17.75,17.75,17.875,25100,1994-06-29
ESS,18,17.625,18,17.625,26100,1994-06-30
ESS,17.75,17.375,17.75,17.75,25500,1994-07-01
ESS,17.875,17.75,17.75,17.875,2900,1994-07-05
ESS,17.875,17.5,17.875,17.625,33600,1994-07-06
ESS,17.875,17.625,17.75,17.625,30500,1994-07-07
ESS,17.875,17.625,17.75,17.625,30200,1994-07-08
ESS,17.875,17.5,17.5,17.75,29300,1994-07-11
ESS,17.875,17.625,17.875,17.75,11700,1994-07-12
ESS,17.875,17.625,17.75,17.75,37800,1994-07-13
ESS,17.875,17.625,17.625,17.875,24600,1994-07-14
ESS,18,17.875,17.875,18,15000,1994-07-15
ESS,18,17.875,18,18,22900,1994-07-18
ESS,18.5,18,18,18.5,25700,1994-07-19
ESS,18.5,18.125,18.5,18.25,15900,1994-07-20
ESS,18.25,18,18,18.25,16000,1994-07-21
ESS,18.5,18.25,18.25,18.375,18800,1994-07-22
ESS,18.5,18.25,18.375,18.5,20100,1994-07-25
ESS,18.625,18.375,18.625,18.5,14200,1994-07-26
ESS,18.375,18.125,18.375,18.25,10100,1994-07-27
ESS,18.125,17.875,18.125,17.875,9200,1994-07-28
ESS,17.875,17.625,17.625,17.75,71400,1994-07-29
ESS,17.75,17.625,17.625,17.625,23500,1994-08-01
ESS,18.125,17.625,17.625,18.125,36700,1994-08-02
ESS,18.375,17.875,18.125,18.375,16300,1994-08-03
ESS,18.375,17.875,18.375,18,19800,1994-08-04
ESS,18,17.875,18,18,9100,1994-08-05
ESS,18.125,17.875,18,18,20100,1994-08-08
ESS,17.875,17.75,17.75,17.75,26700,1994-08-09
ESS,18.125,17.75,17.75,18.125,52600,1994-08-10
ESS,18.25,17.875,17.875,17.875,15800,1994-08-11
ESS,18.125,17.875,18,18,6100,1994-08-12
ESS,18,17.875,18,17.875,14400,1994-08-15
ESS,18.125,17.875,17.875,18.125,16800,1994-08-16
ESS,18.125,18,18,18.125,14500,1994-08-17
ESS,18,17.875,18,18,11500,1994-08-18
ESS,18.125,17.875,17.875,18,10300,1994-08-19
ESS,18.125,18,18,18.125,6500,1994-08-22
ESS,18.125,18,18.125,18.125,9600,1994-08-23
ESS,18.125,18,18,18.125,18300,1994-08-24
ESS,18.125,17.75,18,17.75,12800,1994-08-25
ESS,18,17.75,17.875,18,13400,1994-08-26
ESS,18.125,17.875,17.875,18.125,11900,1994-08-29
ESS,18.25,18,18.125,18.25,39400,1994-08-30
ESS,18.5,18.25,18.25,18.375,23900,1994-08-31
ESS,18.5,18.25,18.375,18.5,31400,1994-09-01
ESS,19,18.375,18.5,19,27800,1994-09-02
ESS,18.875,18.625,18.875,18.75,8800,1994-09-06
ESS,18.875,18.625,18.75,18.75,10800,1994-09-07
ESS,18.875,18.625,18.875,18.625,7100,1994-09-08
ESS,18.75,18.25,18.75,18.625,17800,1994-09-09
ESS,18.75,18.625,18.625,18.75,9300,1994-09-12
ESS,18.75,18.5,18.625,18.5,11400,1994-09-13
ESS,18.625,18.375,18.5,18.375,7800,1994-09-14
ESS,18.625,18.25,18.5,18.625,8700,1994-09-15
ESS,18.625,18.25,18.5,18.25,10700,1994-09-16
