Date,Open,High,Low,Close,AdjustedClose,Volume
2020-08-13,35.06,37.49,31.79,37.44,37.44,49492400
2020-08-14,33.81,35.95,32.5,33,33,10652200
2020-08-17,33.45,39,33.4,38.72,38.72,8806500
2020-08-18,40.13,43,38.11,40.5,40.5,7961900
2020-08-19,40.5,48.1,39.9,42.37,42.37,13581200
2020-08-20,44.15,45.18,40.06,40.75,40.75,6842900
2020-08-21,40.07,42.8,40,41.87,41.87,3465600
2020-08-24,42.48,46.2,42.33,46.06,46.06,5073900
2020-08-25,46.42,52.63,46.17,51.2,51.2,5798100
2020-08-26,50.47,53.15,48.15,49.77,49.77,3448600
2020-08-27,49.42,49.755,46.03,46.9,46.9,2613300
2020-08-28,48.58,49.88,47.02,49.75,49.75,2423100
2020-08-31,50.11,52.57,49.25,51.29,51.29,12952900
2020-09-01,51,54,50.5,54,54,2004300
2020-09-02,54.41,54.6,48.6,49.5,49.5,3943900
2020-09-03,48.4,49.4,45.58,46.69,46.69,2703000
2020-09-04,46.2,47.33,43.78,45.44,45.44,2434200
2020-09-08,44.17,44.87,42.94,44.07,44.07,4601500
2020-09-09,44.59,47.67,44.42,45.79,45.79,2466700
2020-09-10,46.3,50,46,49.64,49.64,3128300
2020-09-11,50,52.5,48.01,48.53,48.53,1635400
2020-09-14,49.31,53.0665,49.31,52.71,52.71,1874750
2020-09-15,52.71,54.19,51.86,54.18,54.18,1525542
2020-09-16,53.8,62,52.6,60.72,60.72,6033700
2020-09-17,57.56,60.25,55.9,57.55,57.55,5100900
2020-09-18,60,60.02,56.1,58.37,58.37,2298300
2020-09-21,56.58,56.58,52.01,53.51,53.51,1668200
2020-09-22,53.75,56.6,50.73,52.38,52.38,1539700
2020-09-23,53,54.95,52.5,53.98,53.98,1262700
2020-09-24,52.35,56.5,52.28,56.22,56.22,1152800
2020-09-25,56.04,57.73,55.06,56.97,56.97,845700
2020-09-28,57.96,61.8,57.61,61.39,61.39,2175200
2020-09-29,60,67.505,59.9,65.63,65.63,3546800
2020-09-30,65.33,65.65,58.8,61.3,61.3,4506500
2020-10-01,61.91,62.99,60.22,62.05,62.05,887600
2020-10-02,60.87,61,58.96,59,59,1341300
2020-10-05,60.46,60.57,58.52,60,60,2440400
2020-10-06,60.35,65.132,59.1,64.18,64.18,2177200
2020-10-07,64.2,65.22,62,62.66,62.66,863800
2020-10-08,62.86,65.48,62.17,64.84,64.84,862400
2020-10-09,65,66.6,63.72,66.45,66.45,871400
2020-10-12,66.52,67.13,62.315,64.45,64.45,2783000
2020-10-13,64.83,66.5,62.72,64.46,64.46,1183100
2020-10-14,64.6,66.39,63.8,65.39,65.39,984200
2020-10-15,64.02,71.4,63.51,69.72,69.72,1804200
2020-10-16,70,73.78,70,71.34,71.34,1570400
2020-10-19,71.8,74.74,68.12,69.57,69.57,1625683
2020-10-20,70.01,71.7957,68.26,69.45,69.45,1012242
2020-10-21,69.45,72.65,69.15,71.13,71.13,1088200
2020-10-22,70.99,76.5,70.27,75.76,75.76,1325900
2020-10-23,75.3,75.3,69.16,69.99,69.99,1910000
2020-10-26,69.68,72.228,68.5,69.84,69.84,1742100
2020-10-27,70.5,71.769,69.72,70.6,70.6,1280300
2020-10-28,69.62,74.29,68.9,73.05,73.05,1617500
2020-10-29,73.2,73.21,69.6,71.58,71.58,1760917
2020-10-30,71,72.11,68.1,69.75,69.75,2995200
2020-11-02,71.08,71.8,68.83,69.82,69.82,1633500
2020-11-03,69.82,70.47,65.1,66.82,66.82,1893500
2020-11-04,67.35,75.44,67.35,75.32,75.32,1746600
2020-11-05,77.02,77.365,70.83,72.69,72.69,1689100
2020-11-06,73,76.13,71.6,75.65,75.65,1483600
2020-11-09,75.27,75.41,70.65,72,72,1957300
2020-11-10,70.6,71.97,67.02,67.7,67.7,2598100
2020-11-11,69.69,69.96,67.02,69.6,69.6,2009900
2020-11-12,71.19,72.4,67.64,67.64,67.64,2835512
2020-11-13,71.58,74.48,70.5,72.53,72.53,3292000
2020-11-16,75,79.4,72.15,73.56,73.56,4379900
2020-11-17,70.1,71.81,66.68,67.6,67.6,5092600
2020-11-18,68.21,68.28,60.89,61.17,61.17,4325600
2020-11-19,57.75,62.38,57.62,59.35,59.35,15527500
2020-11-20,61.74,63.46,60,60.8,60.8,8432400
2020-11-23,62.47,63.15,61.6,62.97,62.97,5297500
2020-11-24,63.97,65.48,62.68,64.08,64.08,5508400
2020-11-25,62.2,64.25,60.18,60.5,60.5,3527200
2020-11-27,62.39,66.79,61.78,64.46,64.46,3446300
2020-11-30,65.01,65.6,62.06,65.33,65.33,4392100
2020-12-01,65.8,67.8,64,64.39,64.39,2377000
2020-12-02,62.5,63.18,60.76,62.67,62.67,2337900
2020-12-03,63.01,64.46,62.95,63.12,63.12,2536200
2020-12-04,63.5,63.54,61.35,62.02,62.02,2504500
2020-12-07,62.5,64.9,61.94,62.19,62.19,1738600
2020-12-08,62.55,66.39,62.4,65.57,65.57,3917800
2020-12-09,65.99,68.87,65.63,67.2,67.2,3067800
2020-12-10,65.83,68.84,65.39,68,68,2386800
2020-12-11,68.06,69.13,65.22,66.13,66.13,2669400
2020-12-14,66,69.29,65.73,65.82,65.82,2566200
2020-12-15,66.41,67.16,63.2,63.62,63.62,2557500
2020-12-16,64.4,64.4,62.15,62.99,62.99,1580900
