Date,Open,High,Low,Close,AdjustedClose,Volume
2020-12-09,25.12,33.1599,25.12,29.45,29.45,8608193
2020-12-10,27.45,29.2,26.68,27.35,27.35,1170524
2020-12-11,27.5,28.14,24.661,25.05,25.05,1110345
2020-12-14,25.58,25.9495,24.1,24.89,24.89,722524
2020-12-15,24.99,24.99,22.42,23.25,23.25,875300
2020-12-16,23,27.17,22.7874,26.86,26.86,1096845
2020-12-17,26.7,28,26.5503,27.62,27.62,497067
2020-12-18,27.6,27.81,25.1,25.43,25.43,488636
2020-12-21,25.15,25.2006,23.73,24.5,24.5,756672
2020-12-22,25.3,30.66,24.98,30.49,30.49,1424834
2020-12-23,32.33,38.7,31.38,31.5,31.5,1882219
2020-12-24,31.462,31.99,29.58,30.44,30.44,319743
2020-12-28,30.79,30.8,27,28.21,28.21,551818
2020-12-29,28.39,28.39,26,26.31,26.31,387092
2020-12-30,26.44,28.45,26.38,28,28,487844
2020-12-31,28.04,28.8,27.29,27.96,27.96,279292
2021-01-04,28.76,29.43,27.65,27.79,27.79,682224
2021-01-05,28.02,28.02,26.3,26.75,26.75,445203
2021-01-06,26.6,27,25.5,26.71,26.71,693606
2021-01-07,27,27.94,26.17,26.93,26.93,789517
2021-01-08,26.93,27.58,25.51,26.31,26.31,894683
2021-01-11,26.49,26.49,25,25.7,25.7,440957
2021-01-12,26.3,26.988,25.78,26.84,26.84,663971
2021-01-13,27.19,29.17,27.16,28.71,28.71,836197
2021-01-14,29.13,30.41,28.25,29.99,29.99,659789
2021-01-15,30.2,30.295,27.5002,27.88,27.88,535714
2021-01-19,28.21,34.09,28.2,33.64,33.64,1363016
2021-01-20,33.64,35.43,32.42,34.5,34.5,1020652
2021-01-21,35.27,39.69,34.71,37.75,37.75,1216089
2021-01-22,36.5,38.09,35.6,37.73,37.73,433677
2021-01-25,38.27,39.4972,34.6,37.86,37.86,718136
2021-01-26,37.74,38.25,37.5,37.66,37.66,234885
2021-01-27,35.7,39,35.01,37,37,528890
2021-01-28,36,37.31,35.49,36.25,36.25,250034
2021-01-29,36.03,41.9978,35.76,39.75,39.75,496322
2021-02-01,41.9,46.97,41.9,45.88,45.88,870228
2021-02-02,46.2,53.62,44.53,45.72,45.72,658955
2021-02-03,47.42,49.54,46.09,46.29,46.29,329125
2021-02-04,48.5,53.9,46.9,50.22,50.22,1206162
2021-02-05,52.5,58.6,51.33,55.47,55.47,950252
2021-02-08,54.87,57,48.75,50.13,50.13,693411
2021-02-09,52.61,52.84,48,49.3,49.3,472134
2021-02-10,50.3,51.86,46.185,49,49,621879
2021-02-11,48.08,49.39,43.46,46.16,46.16,595816
2021-02-12,46.05,50.49,45,49.79,49.79,468437
2021-02-16,51,53.5,49.52,50.01,50.01,534225
2021-02-17,50.5,51.4937,46.7,49.17,49.17,326740
2021-02-18,48,49.0997,45.51,46.26,46.26,273956
2021-02-19,47.43,48.9,46.5,46.71,46.71,289067
2021-02-22,45.93,49.92,44.01,47.25,47.25,508672
2021-02-23,43.74,46.92,37.55,46.16,46.16,587954
2021-02-24,55.73,62.84,53.63,60.27,60.27,2922605
2021-02-25,61.05,74.65,60.92,65.43,65.43,1927437
2021-02-26,66.14,70.71,62.01,64.81,64.81,1018833
2021-03-01,68.73,76.9581,68.15,69.92,69.92,1289946
2021-03-02,71.28,72.53,64.04,67.81,67.81,1230683
2021-03-03,65.67,66.87,53.67,57.86,57.86,811247
2021-03-04,54.87,57.34,45.82,50.28,50.28,1001393
2021-03-05,51.25,51.4999,40.94,48.54,48.54,1105921
2021-03-08,50.741,53.46,43.46,44.53,44.53,916501
2021-03-09,48.115,55.9,48,50.2,50.2,1027999
2021-03-10,53,56.9699,51.42,52.68,52.68,768443
2021-03-11,55.48,59.4,55.01,56.81,56.81,759889
2021-03-12,55.95,58,53.46,57.32,57.32,725467
2021-03-15,56.49,57.68,52.1,54.8,54.8,637131
2021-03-16,54.65,55.46,51.19,52.58,52.58,428308
2021-03-17,50.8,53.2508,48.2,51.04,51.04,482185
2021-03-18,50.53,51.04,47,47.09,47.09,447134
2021-03-19,47.54,49,45.61,46.77,46.77,920686
2021-03-22,50.32,55.7498,50,50.75,50.75,951525
2021-03-23,50.25,52.5,46.8,47.32,47.32,680419
2021-03-24,48.45,49.31,45.31,48.44,48.44,575755
2021-03-25,45.3,48.27,44.5001,46.26,46.26,527711
2021-03-26,46.47,51.205,46.47,50.49,50.49,812203
2021-03-29,49.7,53.1,45.62,46,46,808530
2021-03-30,46.0816,49.53,43.2614,49.39,49.39,566756
2021-03-31,50,52.02,48.4901,49.32,49.32,476804
2021-04-01,50.99,59.73,50.57,58,58,1119747
2021-04-05,59.53,61.825,54.31,58.12,58.12,682444
2021-04-06,57.29,57.9827,54.58,55.04,55.04,348205
2021-04-07,52.61,57.67,51,56.31,56.31,399238
2021-04-08,56.23,62.25,55.62,56.53,56.53,760661
2021-04-09,55.49,57.99,54.02,57.12,57.12,248805
2021-04-12,56.66,57.5,53.045,54.01,54.01,627015
2021-04-13,54.63,56.09,51.53,55.25,55.25,396595
2021-04-14,55.2,55.25,52.3201,53.1,53.1,542659
2021-04-15,53.13,54.78,51.26,54.07,54.07,454886
2021-04-16,53.69,56.797,52.57,55.01,55.01,543854
2021-04-19,54.97,57.25,51.35,52.09,52.09,308178
2021-04-20,51.66,51.83,45.69,47.51,47.51,751515
2021-04-21,47.51,49.8,44.79,46.62,46.62,659968
2021-04-22,46.7,50.25,45.701,49.83,49.83,394456
2021-04-23,49.5,53.9352,48.82,53.83,53.83,294858
2021-04-26,53.44,56.12,52.51,55.75,55.75,248587
2021-04-27,55.22,56.49,52.065,52.69,52.69,282681
2021-04-28,54.03,55.99,52.565,53.85,53.85,338954
2021-04-29,55.04,55.125,51.51,53.94,53.94,298184
2021-04-30,52.41,54.915,50.7,51.47,51.47,268394
2021-05-03,52.91,54.09,50.58,51.13,51.13,269791
2021-05-04,51,51.51,45,49.82,49.82,596969
2021-05-05,50.31,50.815,44.16,44.6,44.6,726569
2021-05-06,44.65,44.815,38.1901,38.83,38.83,1072729
2021-05-07,40.01,45.45,39.6,44.62,44.62,716610
2021-05-10,42.04,42.2,36.8,36.99,36.99,950972
2021-05-11,34.58,38.03,34,36.44,36.44,672584
2021-05-12,36.35,39.42,36.02,37.91,37.91,536381
2021-05-13,38.17,38.17,34,34.32,34.32,734421
2021-05-14,38.4,39.6699,33.25,33.83,33.83,1396327
2021-05-17,33.5,34.85,30,31.91,31.91,1157265
2021-05-18,32.31,34.75,32.02,33.02,33.02,578287
2021-05-19,31.5,34.23,31.15,33.15,33.15,345248
2021-05-20,33.64,35.46,32.73,34.29,34.29,474758
2021-05-21,34.94,35.35,34.01,34.6,34.6,361029
2021-05-24,35.21,35.21,32.13,34.1,34.1,742006
2021-05-25,34.09,34.96,32.36,32.63,32.63,368485
2021-05-26,33.21,34.94,31.9,34,34,665026
2021-05-27,33.88,33.88,30.68,31.3,31.3,1603515
2021-05-28,31.6,31.6,28.9501,29.57,29.57,1300215
2021-06-01,29.55,30.98,28.56,29.18,29.18,2982046
2021-06-02,29.21,29.93,28.66,29.53,29.53,2338153
2021-06-03,29.36,29.47,27.56,28.42,28.42,1515236
2021-06-04,28.38,29.4599,27.25,27.35,27.35,1427950
2021-06-07,28.35,29.41,27,28.79,28.79,2469560
2021-06-08,29.5,31.66,28.5,30.35,30.35,3424816
2021-06-09,32.7379,37.9899,31.31,32.13,32.13,5804573
2021-06-10,33.72,34.6,31.681,33.84,33.84,2026615
2021-06-11,35.083,35.41,32.38,32.65,32.65,1503878
2021-06-14,33.8,36.96,33.1,35.24,35.24,2259697
2021-06-15,35.3515,35.3515,32.38,33.68,33.68,1690595
2021-06-16,32.8,35.85,32.7,34.3,34.3,3182985
2021-06-17,34.2,35.45,33.8,34.51,34.51,1508505
2021-06-18,34.1,34.65,33.15,33.71,33.71,1215828
2021-06-21,33.41,33.69,31.58,33.14,33.14,1059800
