Date,Open,High,Low,Close,AdjustedClose,Volume
2017-11-07,19,19,19,19,19,263
2017-11-08,18.95,18.95,18.95,18.95,18.95,1000
2017-11-09,18.25,18.25,17.75,18.25,18.25,2748
2017-11-10,18,18,18,18,18,267
2017-11-13,16.8,17,16.8,17,17,804
2017-11-14,16.5,16.5,16.5,16.5,16.5,210
2017-11-15,15.5,15.5,15.2,15.452,15.452,732
2017-11-16,15.5,15.5,15.2,15.2,15.2,1400
2017-11-17,15.25,15.5,14.65,14.65,14.65,1832
2017-11-20,15.5,15.5,15.3,15.3,15.3,1870
2017-11-21,15.35,15.35,15.3,15.35,15.35,2239
2017-11-22,15,15,15,15,15,317
2017-11-24,15,15.5,14,14,14,500
2017-11-29,14.25,14.5,14.25,14.5,14.5,1124
2017-11-30,14.5,14.5,14.5,14.5,14.5,200
2017-12-01,14.5,14.7,14.5,14.5,14.5,2355
2017-12-05,14.25,14.25,13.5,13.5,13.5,2495
2017-12-07,11.5,11.56,11.2,11.56,11.56,1469
2017-12-08,12.038,12.06,12.038,12.06,12.06,767
2017-12-11,11.58,12.27,11.58,12.27,12.27,2826
2017-12-12,11.41,11.59,11.41,11.59,11.59,3080
2017-12-13,12,12,11.9,12,12,2629
2017-12-14,12.71,13.52,12.71,13.52,13.52,3817
2017-12-15,13.09,13.2,12.7,13.2,13.2,2352
2017-12-18,13.7,14.68,13.68,14.02,14.02,17052
2017-12-19,14.63,15.75,14.63,15.75,15.75,853
2017-12-20,15.24,15.26,15.19,15.19,15.19,675
2017-12-21,14.5,14.89,14.5,14.89,14.89,4325
2017-12-22,14.6732,15.9,14.6732,14.72,14.72,3000
2017-12-26,14.89,15.31,14.89,15.25,15.25,2622
2017-12-27,15.22,15.22,15.22,15.22,15.22,227
2017-12-28,14.3,15.35,14.3,15.3,15.3,1500
2017-12-29,15.644,15.68,15.644,15.68,15.68,830
2018-01-02,15.71,15.71,15.71,15.71,15.71,263
2018-01-03,17.23,17.65,17.23,17.59,17.59,2306
2018-01-04,17.75,18.11,17.75,18.11,18.11,2710
2018-01-05,17.06,17.21,16.765,17.21,17.21,1635
2018-01-08,17.32,17.32,17.06,17.06,17.06,565
2018-01-09,17.26,17.39,17.26,17.39,17.39,675
2018-01-10,17.21,17.21,16.93,17.03,17.03,495
2018-01-11,16.99,17.11,16.99,17.11,17.11,349
2018-01-12,16.6,16.65,16.6,16.65,16.65,876
2018-01-16,16.36,16.36,16.36,16.36,16.36,245
2018-01-17,15.955,16.31,15.955,16.01,16.01,1600
2018-01-18,15.948,15.96,15.71,15.71,15.71,3754
2018-01-19,15.27,15.47,14.52,15.47,15.47,2763
2018-01-22,14.75,15.11,14.75,15.11,15.11,2430
2018-01-23,15.3,15.3,15.3,15.3,15.3,170
2018-01-24,15.37,15.41,15.37,15.41,15.41,796
2018-01-25,15.46,16.18,15.46,16,16,11646
2018-01-26,16.08,16.08,16.08,16.08,16.08,1097
2018-01-29,15.565,15.565,15.565,15.565,15.565,150
2018-01-30,15.02,15.02,15.02,15.02,15.02,700
2018-01-31,14.75,14.92,14.5,14.6,14.6,7714
2018-02-01,14.4,14.48,14.4,14.48,14.48,600
2018-02-02,14.91,14.91,14.91,14.91,14.91,261
2018-02-05,14.35,14.35,14,14,14,978
2018-02-06,12.81,12.9,12.72,12.86,12.86,3287
2018-02-08,14.1,14.1,13.8,13.8,13.8,3625
2018-02-09,13.21,13.33,13.21,13.33,13.33,200
2018-02-13,13.5,13.61,12.58,13.61,13.61,2276
2018-02-16,13.93,13.93,13.9,13.9,13.9,400
2018-02-23,13.56,13.66,13.22,13.66,13.66,700
2018-02-27,13.59,13.64,13.59,13.64,13.64,277
2018-02-28,13.22,13.22,13.22,13.22,13.22,600
2018-03-01,13.22,13.22,12.88,12.88,12.88,850
2018-03-05,13.13,13.13,13.13,13.13,13.13,202
2018-03-06,12.75,12.76,12.75,12.76,12.76,519
2018-03-07,13.33,13.33,13.33,13.33,13.33,307
2018-03-08,13,13,12.97,12.97,12.97,200
2018-03-19,11.74,11.94,11.74,11.91,11.91,5093
2018-03-20,11.79,11.79,11.79,11.79,11.79,1000
2018-03-22,11.92,11.92,11.72,11.79,11.79,600
2018-03-23,11.99,11.99,11.79,11.79,11.79,200
2018-03-26,11.85,11.85,11.85,11.85,11.85,500
2018-03-27,12.15,12.15,12.15,12.15,12.15,400
2018-03-28,12.08,12.08,12.08,12.08,12.08,200
2018-03-29,11.64,11.69,11.4,11.4,11.4,1359
2018-04-09,11.42,11.42,11.42,11.42,11.42,150
2018-04-10,11.62,11.62,11.62,11.62,11.62,100
2018-04-11,11.62,11.62,11.5,11.5,11.5,400
2018-04-12,11.9,12.15,11.9,12.15,12.15,700
2018-04-13,11.48,11.68,11.48,11.68,11.68,400
2018-04-17,11.25,11.25,11.25,11.25,11.25,346
2018-04-18,11.66,11.66,11.66,11.66,11.66,200
2018-04-20,11.28,11.28,11.28,11.28,11.28,300
2018-04-23,10.87,11.07,10.87,11.07,11.07,400
2018-04-24,11.61,11.61,11.6,11.6,11.6,3532
