Date,Open,High,Low,Close,AdjustedClose,Volume
2020-12-17,5.2079,5.5051,5.2079,5.4051,5.4051,50320
2020-12-18,5.4238,5.4238,4.9303,5.0033,5.0033,38612
2020-12-21,4.9863,5.28,4.975,4.9982,4.9982,60692
2020-12-22,5.39,5.39,4.49,4.68,4.68,134706
2020-12-23,4.79,5.73,4.77,4.94,4.94,133300
2020-12-24,4.81,5.035,4.81,4.97,4.97,24400
2020-12-28,5.2,6.04,5.2,5.575,5.575,136700
2020-12-29,5.41,5.42,4.9,5,5,154400
2020-12-30,5.06,5.58,5.06,5.47,5.47,162300
2020-12-31,5.77,5.94,5.33,5.39,5.39,137200
2021-01-04,5.12,5.75,5.12,5.625,5.625,170200
2021-01-05,5.76,5.76,5.55,5.64,5.64,47500
2021-01-06,5.56,5.64,5,5.54,5.54,113500
2021-01-07,5.59,5.68,5.32,5.591,5.591,34900
2021-01-08,5.67,5.67,5.09,5.24,5.24,188100
2021-01-11,5.25,5.25,5.035,5.12,5.12,102000
2021-01-12,5.04,5.35,5.04,5.13,5.13,63700
2021-01-13,5.11,5.2,4.95,4.956,4.956,157000
2021-01-14,5,5.04,4.9,4.985,4.985,199100
2021-01-15,4.99,5,4.7,4.72,4.72,206000
2021-01-19,4.85,4.95,4.75,4.83,4.83,60300
2021-01-20,4.91,5,4.75,4.85,4.85,162100
2021-01-21,4.95,4.95,4.56,4.6,4.6,78300
2021-01-22,4.55,4.6,4.14,4.52,4.52,124618
2021-01-25,4.64,4.64,4.27,4.319,4.319,95100
2021-01-26,4.45,4.51,4.23,4.33,4.33,149400
2021-01-27,4.32,4.32,4.06,4.08,4.08,156300
2021-01-28,4.09,4.51,4.09,4.275,4.275,250800
2021-01-29,4.38,4.55,4.2,4.34,4.34,358800
2021-02-01,4.46,4.57,4.18,4.25,4.25,97200
2021-02-02,4.2,4.38,4.14,4.18,4.18,64800
2021-02-03,4.22,4.29,4.11,4.18,4.18,213800
2021-02-04,4.26,4.26,4.06,4.18,4.18,393800
2021-02-05,4.3,4.34,4.13,4.34,4.34,300600
2021-02-08,4.53,4.54,4.29,4.47,4.47,386300
2021-02-09,4.52,4.54,4.38,4.42,4.42,221800
2021-02-10,4.48,4.54,4.29,4.37,4.37,288700
2021-02-11,4.29,4.36,4.11,4.14,4.14,193865
2021-02-12,4.11,4.21,3.95,4.14,4.14,134200
2021-02-16,4.2,4.27,4,4.02,4.02,262300
2021-02-17,4.02,4.05,3.77,3.78,3.78,350100
2021-02-18,3.78,3.96,3.75,3.77,3.77,389300
2021-02-19,3.95,3.95,3.67,3.8,3.8,483300
